,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
143,113502,嘉澳转债,0.27%,97.25,1.41,69.51,0,3.42,AA-,4.532,1.848,191502,33.239999999999995
144,128028,赣锋转债,0.13%,98.3,1.4,69.86,0,2.45,AA,4.647,9.278,128028,31.840000000000003
145,127004,模塑转债,0.62%,95.67,4.27,77.96,0,4.71,AA,4.093,8.136,127004,26.370000000000005
146,127008,特发转债,2.67%,188.2,2.17,-12.48,0,-10.99,AA,4.551,4.194,未到转股期,24.280000000000012
147,128023,亚太转债,0.71%,94.769,0.0,82.14,0,3.93,AA,4.611,9.996,128023,23.090999999999994
148,128010,顺昌转债,1.65%,101.963,0.8,86.61,0,3.28,AA,2.734,5.095,128010,11.427000000000007
149,110031,航信转债,0.91%,111.0,1.35,84.63,0,-0.43,AAA,2.121,23.995,190031,4.3700000000000045
150,128012,辉丰转债,0.37%,97.642,5.97,123.39,0,2.7,A+,2.978,8.443,128012,-21.031999999999996
151,128043,东音转债,7.43%,199.99,10.01,23.53,1,-10.07,AA-,5.263,2.648,128043,-23.52000000000001
152,128013,洪涛转债,0.23%,97.552,1.38,165.3,0,4.53,AA,3.249,12.000,128013,-62.85200000000002
TOTAL,,,,111.54190849673203,,15.55921568627451,,,,,,,
